[INFO 2:06:06 PM] miguelsolorio.symbols activated
[INFO 2:06:06 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 2:06:06 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 2:06:06 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 2:06:08 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 2:06:08 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 2:06:08 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 2:10:08 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 2:10:08 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 2:10:08 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 2:27:59 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 2:27:59 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 2:27:59 PM] 🤖 symbols.files.associations changed, updating to undefined
