2024-11-05 14:06:08.679 [info] Reading sessions from keychain...
2024-11-05 14:06:08.679 [info] Getting sessions for all scopes...
2024-11-05 14:06:08.679 [info] Got 0 sessions for ...
2024-11-05 14:06:08.679 [info] Getting sessions for all scopes...
2024-11-05 14:06:08.679 [info] Got 0 sessions for ...
2024-11-05 14:06:08.679 [info] Getting sessions for all scopes...
2024-11-05 14:06:08.679 [info] Got 0 sessions for ...
2024-11-05 14:06:08.679 [info] Getting sessions for read:user,repo,user:email,workflow...
2024-11-05 14:06:08.679 [info] Got 0 sessions for read:user,repo,user:email,workflow...
2024-11-05 14:06:08.679 [info] Getting sessions for all scopes...
2024-11-05 14:06:08.679 [info] Got 0 sessions for ...
2024-11-05 14:06:08.712 [info] Getting sessions for all scopes...
2024-11-05 14:06:08.712 [info] Got 0 sessions for ...
2024-11-05 14:19:28.185 [info] Getting sessions for all scopes...
2024-11-05 14:19:28.185 [info] Got 0 sessions for ...
2024-11-05 14:27:43.545 [info] Getting sessions for all scopes...
2024-11-05 14:27:43.545 [info] Got 0 sessions for ...
2024-11-05 14:34:15.657 [info] Getting sessions for all scopes...
2024-11-05 14:34:15.658 [info] Got 0 sessions for ...
2024-11-05 14:34:16.611 [info] Getting sessions for all scopes...
2024-11-05 14:34:16.611 [info] Got 0 sessions for ...
2024-11-05 14:40:10.344 [info] Getting sessions for all scopes...
2024-11-05 14:40:10.344 [info] Got 0 sessions for ...
